X,Y,PDV/ HIBRI,MARCA (IZZ,REGI�N O,HUB,CADENA,IZ_ID PDV,Nombre del,Direcci�,LATITUD,LONGITUD,ESTATUS,icon_url
19.3664353,-99.2114706,PDV,IZZI,METROPOLITANA,CENTRO DE ACOPIO,CENTRO COMERCIAL,IZ-02301,PLAZA CENTENARIO,"AV. CENTENARIO NUM 394, COL. MERCED GOMEZ, ALVARO OBREGON, CIUDAD DE MEXICO C.P. 01600",19.366435299999999,-99.211470599999998,ABIERTO,./0.png
19.8416542,-99.2402111,PDV,IZZI,METROPOLITANA,MELCHOR OCAMPO,WALMART,IZ-03009,WSC JOROBAS,"CARRETERA JOROBA- TULA 02 38 MANZANA 125 NTE. 1 CAMINO A SANTA TERESA, COL. SANTA TERESA 3 Y 3 BIS, C.P. 54695, HUEHUETOCA, ESTADO DE MEXICO",19.841654200000001,-99.240211099999996,ABIERTO,./0.png
19.6434182,-99.1158616,PDV,IZZI,METROPOLITANA,MELCHOR OCAMPO,WALMART,IZ-02931,WSC COACALCO,"VIA JOSE LOPEZ PORTILLO NUM 2  COL. ZACUAUTITLA, C.P. 55710, COACALCO DE BERRIOZABAL, ESTADO DE MEXICO",19.643418199999999,-99.115861600000002,ABIERTO,./0.png
19.3077656,-99.6365955,PDV,IZZI,METROPOLITANA,TOLUCA,WALMART,IZ-03012,WSC ALFREDO DEL MAZO,"BOULEVARD ALFREDO DEL MAZO NUM 503 COL. JARDINES DE TLACOPA, TOLUCA, ESTADO DE MEXICO, C.P. 50071",19.307765600000000,-99.636595499999999,ABIERTO,./0.png
22.29928632,-97.87982583,PDV,IZZI,NORESTE,TAMPICO,WALMART,IZ-02940,WM AEROPUERTO TAMPICO,"AV. HIDALGO NUM 6904, ENTRE LAS CALLES RIVERA DE CHAMPAYAM Y COLIMA, COL. MEXICO C.P. 89348, TAMPICO, TAMPICO",22.299286320000000,-97.879825830000001,ABIERTO,./0.png
-99.01324712,19.35226642,PDV,IZZI,METROPOLITANA,,LA COMER,Pendiente,LA COMER IZTAPALAPA,"Ermita Iztapalapa 3573, 1ra Amp Santiago Acahualtepec, Iztapalapa, 09609 Ciudad de M�xico, CDMX",-99.013247120000003,19.352266419999999,ABIERTO,./0.png
19.67773953,-99.14836513,PDV,IZZI,METROPOLITANA,CUAUTITLAN,WALMART,IZ-03247,WM Santa Elena,"Carretera Cuautitlan-Texcoco, 2, Col. El Terremoto, C.P. 54850, Cuautitlan, Estado de M�xico",19.677739530000000,-99.148365130000002,ABIERTO,./0.png
19.61420507,-99.18068151,PDV,IZZI,METROPOLITANA,MELCHOR OCAMPO,Coppel,IZ-02590,COPPEL CHILPAN (251),"AV. JOSE LOPEZ PORTILLO NUM 44 COL. SAN FRANCISCO CHILPAN C.P. 54940, BUENAVISTA, ESTADO DE MEXICO (COPPEL CHILPAN)",19.614205070000001,-99.180681509999999,ABIERTO,./0.png
19.17730579,-99.4696401,PDV,IZZI,METROPOLITANA,TOLUCA,Coppel,IZ-PEND10115,COPPEL NICOLAS BRAVO,"V. DON CATARINO GONZALEZ BENITEZ ENTRE NICOLAS BRAVO Y AV LIC. BENITO JUAREZ, #504 INTERIOR L2 COLONIA SANTIAGO TIANGUISTENCO. 52600, SANTIAGO TIANGUISTENCO",19.177305789999998,-99.469640100000007,ABIERTO,./0.png
19.2664446,-98.896914,PDV,IZZI,METROPOLITANA,IXTAPALUCA,WALMART,IZ-01824,MB CUAUHTEMOC CHALCO,"BOULEVARD CUAUHTEMOC NUM 600 COL. EJIDAL, CHALCO CENTRO,  C.P. 56604, ESTADO DE MEXICO",19.266444600000000,-98.896913999999995,ABIERTO,./0.png
